hero_id,hero_name,role,lane,pick_rate,win_rate,ban_rate,speciality,pick_rate_normalized,win_rate_normalized,ban_rate_normalized
130,Obsidia,Marksman,Gold Lane,1.14,51.95,13.25,"Finisher, Damage",0.48416289592760176,0.6470588235294121,0.25209763539282987
46,Odette,Mage,Mid Lane,0.54,52.05,0.1,"Burst, Poke",0.21266968325791857,0.6539792387543253,0.0013348588863463006
103,Paquito,Fighter,Exp Lane,0.21,45.18,0.05,"Chase, Damage",0.06334841628959276,0.17854671280276824,0.0003813882532418002
52,Pharsa,Mage,Mid Lane,1.09,48.95,0.29,"Burst, Poke",0.46153846153846156,0.4394463667820072,0.004958047292143402
106,Phoveus,Fighter,Exp Lane,0.77,51.11,2.44,"Regen, Damage",0.3167420814479638,0.5889273356401388,0.04595728451563692
94,Popol and Kupa,Marksman,Jungle,0.24,53.02,0.1,"Push, Burst",0.07692307692307693,0.7211072664359865,0.0013348588863463006
14,Rafaela,Support,Roam,0.48,52.73,4.04,"Regen, Guard",0.18552036199095023,0.7010380622837369,0.07646834477498093
39,Roger,Fighter,Jungle,0.48,50.49,0.12,"Finisher, Burst",0.18552036199095023,0.5460207612456749,0.0017162471395881008
29,Ruby,Fighter,Exp Lane,1.24,53.09,2.11,"Crowd Control, Regen",0.5294117647058824,0.7259515570934263,0.03966437833714722
3,Saber,Assassin,Jungle,0.5,51.47,6.17,"Charge, Finisher",0.19457013574660634,0.6138408304498273,0.11708619374523266
63,Selena,Assassin,Mid Lane,0.66,44.98,0.62,"Initiator, Finisher",0.2669683257918552,0.16470588235294104,0.011250953470633105
90,Silvanna,Fighter,Exp Lane,0.77,52.36,0.58,"Initiator, Magic Damage",0.3167420814479638,0.6754325259515572,0.010488176964149503
27,Sun,Fighter,Exp Lane,0.9,52.76,2.06,"Push, Damage",0.3755656108597285,0.7031141868512112,0.03871090770404272
126,Suyou,Assassin,Jungle,0.31,48.06,0.23,"Chase, Burst",0.1085972850678733,0.3778546712802773,0.0038138825324180023
82,Terizla,Fighter,Exp Lane,0.38,51.04,0.1,"Burst, Crowd Control",0.14027149321266968,0.584083044982699,0.0013348588863463006
